March 13, 2021, Enris, Taiyo, Sabiha, Cole, $481.5, 76, 43, 74
March 14, 2021, Enris, Taiyo, Sabiha, Cole, $483.0, 80, 44, 71
March 15, 2021, Enris, Taiyo, Sabiha, Jason, $479.5, 87, 43, 66
March 16, 2021, Taiyo, Sabiha, Enris, Jason, $504.0, 92, 44, 70
March 17, 2021, Taiyo, Sabiha, Enris, Jason, $509.0, 99, 44, 67
March 18, 2021, Taiyo, Sabiha, Enris, Jason, $509.5, 102, 43, 66
March 20, 2021, Taiyo, Sabiha, Enris, Jason, $517.0, 103, 44, 67
March 21, 2021, Taiyo, Enris, Shreya, Jason, $546.0, 110, 44, 72
March 22, 2021, Taiyo, Enris, Shreya, Jason, $556.0, 115, 44, 72
March 23, 2021, Taiyo, Enris, Shreya, Jason, $555.0, 122, 44, 67
March 24, 2021, Enris, Taiyo, Robert, Jason, $560.5, 126, 43, 67
March 25, 2021, Taiyo, Robert, Maurizio, Jason, $584.5, 130, 47, 69
March 27, 2021, Taiyo, Robert, Maurizio, Cole, $616.0, 133, 56, 70
March 28, 2021, Taiyo, Maurizio, Sabiha, Cole, $648.0, 138, 60, 74
March 29, 2021, Taiyo, Maurizio, Sabiha, Cole, $676.0, 140, 66, 77
March 30, 2021, Taiyo, Maurizio, Shreya, Jason, $720.0, 144, 72, 84
March 31, 2021, Taiyo, Shreya, Maurizio, Jason, $758.0, 151, 78, 87
April 01, 2021, Shreya, Maurizio, Evelyn, Jason, $761.5, 148, 83, 86
April 03, 2021, Shreya, Evelyn, Sabiha, Jason, $774.0, 147, 84, 90
April 04, 2021, Shreya, Sabiha, Enris, Jason, $788.0, 145, 84, 96
April 05, 2021, Shreya, Enris, Robert, Jason, $786.0, 144, 84, 96
April 06, 2021, Shreya, Enris, Robert, Jason, $779.0, 142, 84, 95
April 07, 2021, Enris, Maurizio, Taiyo, Jason, $813.0, 148, 88, 99
April 08, 2021, Enris, Taiyo, Sabiha, Jason, $827.5, 152, 87, 102
April 10, 2021, Taiyo, Sabiha, Evelyn, Jason, $839.0, 156, 86, 104
April 11, 2021, Taiyo, Sabiha, Evelyn, Jason, $861.0, 158, 86, 110
April 12, 2021, Sabiha, Evelyn, Maurizio, Jason, $866.0, 156, 92, 108
April 13, 2021, Sabiha, Evelyn, Robert, Jason, $859.0, 154, 92, 107
April 14, 2021, Evelyn, Robert, Enris, Jason, $861.5, 155, 91, 108
